시설명,기관유형,주소,전화번호,홈페이지,장기요양기관지정일,교통편,주차시설,정원,현원(남),현원(여),대기(남),대기(여),재가노인복지시설방문요양-요양보호사-1급,재가노인복지시설방문요양-요양보호사-2급,재가노인복지시설방문요양-요양보호사-유예,재가장기요양기관방문요양-요양보호사-1급,재가장기요양기관방문요양-요양보호사-2급,재가장기요양기관방문요양-요양보호사-유예,간호사,간호조무사,계약,관리인,물리치료사,보조원,사무국장,사무실,사무원,사회복지사,세면/세탁실,시설장,영양사,위생원,유예,작업치료사,재가노인복지시설주야간보호,조리원,침실,화장실
동행재가노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 우각로 24-1인천광역시 동구 요양기관 ,032-202-7671,https://blog.naver.com/silver1004hd,2018년 01월 31일,"전철 1호선 도원역 에서 하차 , 인천세무서 정문 에서 창영초등학교 방향 150 미터 소재.",센터도로변 및 주변 공영주차장.  지하터널 도로공사중으로 주차장 확보예정 중임.,-,-,-,-,-,0명,0명,0명,114명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,1명,4명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
주식회사동구종합재가센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕 / 재가장기요양기관 주야간보호,인천광역시 동구 송림로 78인천광역시 동구 요양기관 ,032-766-8881,https://blog.naver.com/groupkim0,2019년 12월 19일,"제공서비스 -방문요양, 방문목욕, 주야간보호 찾아오시는 길 주식회사 동구종합재가센터 주   소 - 인천 동구 송림로 78, 신협 6층 전화 번호 032-766-8881   팩스:032-766-8821 교통편 시내버스 506번, 510번, 13번, 6번, 15번, 63번, 21번 시외버스 72번, 70번, 306번 지하철 1호선 도원역 하차 송림오거리 배다리방면",신협 건물 지상 1층 건물 뒤편 지하 1층 맞은편 공영 주차가능,50명,12명,30명,2명,3명,0명,0명,0명,72명,0명,0명,0명,1명,0명,0명,0명,1명,0명,1개,1명,1명,세면장및목욕실:1개세탁장및건조장:1개세면장및목욕실:1개세탁장및건조장:1개,1명,0명,0명,0명,0명,-,1명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,3개
송원재가노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 송림로43번길 35인천광역시 동구 요양기관 ,032-764-1185,https://admin.songwonjaega.com,2015년 12월 04일,"시내버스 2, 12, 16, 62,72,82,306,306A,307, 506번 타고, 삼익아파트,달동네박물관하차 하여 삼익아파트 횡단보고 건너서 도보5분거리 2.동인천역북광장 길건너 송현시장 입구 파리바게뜨와 인천종합동물병원 사잇길로 600M가량 오르막길을 올라오시면 송현근린공원끝자락쯤 4거리에서 오른쪽으로 20M쯤 내려와 송림종합",주차가능,-,-,-,-,-,0명,0명,0명,71명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,3명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
(주)솔숲노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕 / 재가장기요양기관 주야간보호 / 재가장기요양기관 방문간호,인천광역시 동구 송림로 24인천광역시 동구 요양기관 ,032-777-8868,http://blog.naver.com/senior8868,2019년 02월 01일,"주소 : 인천 동구 송림로 24 두손피카디리빌딩 803호  - 전철이용시 : 동인천역 4번 출구, 북광장으로 진입후 보도로 10분   - 버스이용시 : 2,12, 506번버스 배다리삼거리 하차후 보도로 4분   배다리 삼거리 헌 책방골목에서 유일하게 높은 빌딩이 두손피카디리빌딩입니다.  8층에 전망좋은 넓은 창이 있는 곳입니다.","지하1층, 지하2층 주차장이 있습니다. 도원역에는 공영주차장도 있습니다.",33명,11명,21명,0명,0명,0명,0명,0명,43명,0명,0명,1명,0명,0명,0명,1명,1명,0명,1개,1명,2명,세면장및목욕실:1개세탁장및건조장:1개세면장및목욕실:1개세탁장및건조장:1개,1명,0명,0명,0명,0명,-,3명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,2개
행복나눔노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 금곡로 58인천광역시 동구 요양기관 ,032-766-5506,-,2009년 11월 03일,"지선버스(동산고교 앞하차 - 2번, 10번, 62번, 13번....)- 도보 10분              (복음병원 앞 하차 - 3-1번, 17번, 12번, 41번, 70번...)- 도보 5분              (10번 버스(부평방향) 동구청 하차) 동구청 건너편(도보 1분)",동구청 건너편 공용주차장 이용 사무실 옆 주택가 주차시설이용,-,-,-,-,-,0명,0명,0명,42명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,2명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
국민재가노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 솔빛로85번길 22인천광역시 동구 요양기관 ,032-710-1932,http://Gukmincenter.modoo.at,2019년 10월 04일,* 제물포역에 내려서 10번 버스 62번 버스 타시고 동구청소년수련관에서 하차하셔서 골목길들어오시면 제삼교회 정문이 보임. 우측골목으로 걸어오시면 제삼교회 주차장이 있습니다. 주차장 맞은편으로 이전 하였습니다  * 동인천역에 내리시면 24번 버스 타시고 현대시장에 하차하여 신호등 건너서 파리바케트옆 골목으로 ,제 삼교회에서 공용주차장이 허용되어서 주차 하시면 됩니다. 사무실 주변주차가능 합니다,-,-,-,-,-,0명,0명,0명,48명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,2명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
삼성노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 우각로 34인천광역시 동구 요양기관 ,032-762-4104,-,2010년 04월 15일,"전철 1호선 도원역 에서 하차 , 인천세무소  정문  에서  영화 초등 학교 방향으로  50 미터  내려오시면  됩니다",공영 주차장,-,-,-,-,-,0명,0명,0명,45명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
사회적협동조합동그라미노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 화도진로 2인천광역시 동구 요양기관 ,032-710-1161,http://blog.naver.com,2019년 11월 19일,"지하철 : 동인천역 4번출구(북부역)에서 미림극장 방면으로 도보 10분, 송림 초등학교 바로 앞  버    스: 배다리삼거리 정거장 : 2번, 7번, 10번, 12번, 16번, 62번, 72번, 506번              미림극장 정거장       : 7번, 12번, 62번, 72번, 307번, 506번",,-,-,-,-,-,0명,0명,0명,42명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,1명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
미소재가노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 샛골로193번길 12인천광역시 동구 요양기관 ,032-233-0901,http://blog.naver.com/smileok0900,2019년 09월 18일,"송림오거리☞ 506번, 510번, 6번,13번, 21번, 63번, 15번 시외버스 72번, 70번, 306번 동인천역 10분거리  도원역 10분거리",주변 공영주차장 및 제삼교회 주차장,-,-,-,-,-,0명,0명,0명,40명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,1명,1명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
시니어빌리지요양원,노인요양시설(개정법),인천광역시 동구 송림로 129인천광역시 동구 요양기관 ,032-764-8080,http://blog.naver.com/sv2018,2022년 01월 01일,"대중교통 이용 시 - 제물포역 출발 시   : 510(인천 재능 대학교 입구 정류장 하차)   : 13, 46, 62, 2(송림오거리 정류장 하차) - 동인천역 출발 시   : 40, 3-2, 72, 41, 12(송림시장 정류장 하차)",제1주차장 - 10대  제2주차장 - 8대 제3주차장 - 4대,99명,20명,71명,0명,0명,0명,0명,0명,43명,0명,0명,0명,4명,1명,1명,2명,0명,2명,4개,1명,2명,세면장및목욕실:22개세탁장및건조장:1개세면장및목욕실:22개세탁장및건조장:1개,1명,1명,1명,0명,0명,-,5명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,17개
